"","LDA","LDA + SOC","PBE","PBE + SOC","PBE_SOL","HLE16","HLE16 + SOC","BJ","mBJ","SCAN","HSE06","HSE14","HSE_mix","PBE0","PBE0_mix"
"463",0.4585,0.4779,0.3702,0.3909,0.4065,-0.0778,0.0111,0.1869,-0.1135,0.3585,-0.1641,-0.2024,-0.2027,-0.6815,-0.204
"464",1.7733,1.9031,1.5146,1.6405,1.6346,0.1899,0.3378,1.0056,0.1249,1.1096,0.4004,-0.0366,0.0598999999999998,-0.2201,-0.1628
"465",0.8869,0.9475,0.7909,0.8509,0.8913,0.4825,0.5512,0.4656,0.1788,0.566,0.1802,0.1632,0.1028,-0.442,-0.0501
"466",0.823,0.8274,0.6996,0.7051,0.8213,-0.3236,-0.2869,0.4446,0.0869,0.4577,0.0178,-0.0169999999999999,-0.0758000000000001,-0.591,-0.1567
"467",0.7316,0.7381,0.6162,0.7169,0.6915,0.1895,0.2952,0.4118,-0.2465,0.4623,-0.1881,-0.4714,-0.3686,-0.7581,-0.4821
"468",2.3732,2.3831,2.2913,2.3056,2.3776,1.3841,1.3623,1.5731,0.6752,1.7828,0.5385,-0.4674,-1.0717,0.0145999999999997,-1.7142
"469",0.8889,0.9106,0.6975,0.7207,0.7787,0.1554,0.1748,0.4357,-0.1667,0.411,-0.191,-0.4273,-0.399,-0.8088,-0.516
"470",0.3811,0.4,0.3833,0.3927,0.383,0.3183,0.3883,0.3799,-0.1282,0.3824,-0.2407,-0.4691,-0.3733,-0.7901,-0.4387
"471",0.9439,0.9581,0.8848,0.8988,0.9567,0.5991,0.5753,0.8074,0.3909,0.5165,0.1036,-0.0199,-0.0997000000000001,-0.4687,-0.2111
"472",0.8521,1.0059,0.8225,0.9693,0.8769,0.497,0.6135,0.6466,0.3649,0.4639,0.1587,0.0657999999999999,0.0411999999999999,-0.4143,-0.0398000000000001
