"","Ref","G4MP2","B3LYP","M06-2X","wB97X-D"
"C6H4N2O",71.87,71.67,63.96,49,47.7
"C2H6N2O2",-1.15,-0.17,-16.1,-3.5,-8.96
"C4H4N2O2",-72.39,-70.09,-79.42,-78.84,-81.13
"C4H6N2O2",24.45,25.72,11.38,26.16,19.38
"C5H10N2O2",-10.64,-8.07,-20.61,-10.37,-17.14
"C3H4N2O3",9.32,14.42,1.98,12.57,7.02
"C3H6N2O4",-24.07,-26.88,-38.78,-25.24,-34.54
"CF4",-223.14,-222.77,-236.58,-231.37,-227.05
"C2FH3",-33.17,-34.1,-38.69,-35.08,-34.53
"C3FH7",-68.33,-69.51,-76.2,-70.16,-70.65
"C6FH5",-27.72,-27.75,-32.7,-30.72,-29.33
"C7FH7",-35.25,-35.29,-40.78,-37.61,-36.68
"CF2H2",-108.08,-107.72,-113.36,-110.84,-109.47
"C6F2H4",-70.22,-69.82,-79.03,-76.4,-74.27
"C6F2H4.1",-73.9,-73.57,-82.76,-80.25,-78.18
"C6F2H4.2",-73.3,-72.76,-82,-79.44,-77.36
"CF3H",-166.2,-166.28,-175.44,-171.98,-169.26
