"","B3LYP","B97-1","BH&HLYP","BLYP","CAM-B3LYP","LC-ωPBE","PBE","PBE0","PW86PBE"
"191",-3.915,-1.2,-3.715,-3.465,-3.92,-3.615,-2.73,-2.875,-3.115
"192",-0.695,0.4,0.7,-0.79,-0.26,1.185,-0.335,0.555,-0.395
"193",-0.5,0.993333333333333,0.536666666666667,0.196666666666667,-0.606666666666667,-0.94,-1.28333333333333,-1.00666666666667,-0.406666666666667
"194",-0.53,0.965,0.6225,0.1975,-0.68,0.015,-0.525,-0.1325,0.28
"195",-2.185,-0.505,0.035,-2.935,-1.73,-0.59,-2.43,-0.775,-2.795
"196",-1.99666666666667,-0.346666666666667,0.683333333333333,-2.54333333333333,-1.74666666666667,-0.23,-2.24,-0.386666666666667,-2.10666666666667
"197",-0.67,0.28,2.355,-1.435,-0.76,0.155,-1.535,0.57,-0.765
"198",-0.363333333333333,0.753333333333333,-0.01,0.473333333333333,-0.463333333333333,-0.52,0.06,-0.113333333333333,1.15666666666667
"199",-0.325,0.94,-0.1125,0.685,-0.5525,0.4975,1.1475,0.8825,1.9725
"200",-1.53333333333333,-0.09,-0.533333333333333,-1.16333333333333,-1.41,0.76,-0.17,0.296666666666667,0.44
"201",1.39,0.765,12.445,-4.525,3.01,3.38,-7.615,1.735,-7.275
"202",-0.243333333333333,-0.603333333333333,6.04,-2.46333333333333,-0.483333333333333,-0.423333333333333,-5.15666666666667,-0.293333333333333,-3.31666666666667
"203",-0.755,-1.66,10.615,-6.38,-0.785,-1.585,-9.23,0.15,-8
"204",-1.195,-3.155,10.6,-7,-1.545,-3.205,-11.155,-1.55,-7.945
"205",1.73,0.28,4.025,0.945,5.05,6.8,-1.87,1.29,-0.39
"206",0.97,-1.385,6.22,-1.14,2.52,3.855,-5.005,-0.77,-2.47
"207",1.21,-0.48,9.81,-2.905,1.405,1.73,-6.05,1.075,-3.41
"208",0.705,-0.91,8.64,-3.555,1.28,1.585,-6.805,0.23,-4.475
"209",-0.095,0.585,1.125,0.105,0.005,1.25,-0.025,0.62,0.865
"210",1.38,1.59,6.19333333333333,0.0533333333333333,1.54666666666667,1.11333333333333,-3.39333333333333,0.14,-2.10666666666667
"211",-0.374,0.228,2.174,-0.278,-0.518,-0.076,-2.48,-0.852,-1.18
"212",0.045,-0.125,4.08,-0.591666666666667,-0.435,-0.413333333333333,-3.50166666666667,-0.598333333333333,-1.61333333333333
"213",-0.118,0.372,3.07,-0.358,-0.654,-0.246,-2.258,-0.128,-0.522
"214",-0.526,-0.054,2.228,-0.728,-0.878,-0.172,-2.4,-0.422,-0.914
"215",0.55375,0.415,2.86875,0.82375,-0.38875,0.41625,-1.3875,0.14625,0.26375
"216",0.048,0.214,1.786,0.554,-0.216,0.262,-1.348,-0.374,0.154
"217",-0.164285714285714,0.664285714285714,1.31714285714286,0.621428571428571,-0.552857142857143,-0.154285714285714,-1.12571428571429,-0.458571428571429,0.177142857142857
"218",0.039,0.6,1.632,0.867,-0.464,-0.191,-1.317,-0.553,0.192
"219",0.31,0.72,1.95,1.17230769230769,-0.270769230769231,-0.0746153846153846,-1.26846153846154,-0.461538461538462,0.354615384615385
"220",-1.27666666666667,-2.92666666666667,13.2133333333333,-8.48,-0.746666666666667,-1.88,-13.6233333333333,-1.65666666666667,-10.9133333333333
"221",0.55,-1.205,6.915,-1.5025,-1.265,-2.5525,-6.6025,-1.42,-2.725
"222",0.474545454545455,-0.235454545454545,3.86545454545455,0.670909090909091,-0.0672727272727273,-0.537272727272727,-4.16636363636364,-1.90636363636364,-1.84363636363636
