"systems","nAtoms","compos","Eref","B3LYP","B97-1","BH&HLYP","BLYP","CAM-B3LYP","LC-ωPBE","PBE","PBE0","PW86PBE"
"methyl-nitrite",7,"1 N + 2 O + 3 H + 1 C "," -598.75","  1.01"," -2.20"," 47.31","-14.98"," -1.75"," -0.53","-37.01"," -0.30","-22.20"
"methylsilane",8,"6 H + 1 Si + 1 C "," -627.75","  4.47"," 10.19"," 10.35"," 13.36","  0.70","  7.69","  8.00","  8.73"," 17.55"
"formic-acid",5,"2 O + 2 H + 1 C "," -501.49","  3.79","  0.57"," 32.55"," -3.67","  0.15","  0.76","-19.87","  1.81"," -7.27"
"methyl-formate",8,"2 O + 4 H + 2 C "," -785.24","  4.01","  1.56"," 38.03"," -0.84"," -2.07"," -0.23","-24.86"," -0.20"," -7.20"
"acetamide",9,"1 N + 1 O + 5 H + 2 C "," -868.63","  1.96","  1.84"," 35.15"," -0.65"," -3.70"," -0.87","-25.51"," -2.27"," -8.74"
"aziridine",8,"1 N + 5 H + 2 C "," -720.07","  1.31","  3.06"," 24.19","  2.91"," -2.80"," -3.04","-19.19"," -4.82"," -5.81"
"cyanogen",4,"2 N + 2 C "," -502.50","  0.19"," -4.41"," 41.08","-17.05","  2.62","  3.96","-34.88"," -1.57","-30.66"
"dimethylamine",10,"1 N + 7 H + 2 C "," -870.30","  0.68","  6.69"," 21.93","  5.69"," -4.25","  2.67","-12.12","  0.13","  2.13"
"trans-ethylamine",10,"1 N + 7 H + 2 C "," -877.43","  0.45","  6.16"," 21.64","  5.60"," -4.51","  1.85","-12.72"," -0.61","  1.68"
"ketene",5,"1 O + 2 H + 2 C "," -532.84"," -0.09"," -2.70"," 26.80"," -6.43"," -1.40"," -1.35","-24.33"," -4.37","-13.98"
"oxirane",7,"1 O + 4 H + 2 C "," -650.91","  3.86","  3.30"," 27.60","  3.46"," -0.67"," -2.55","-18.43"," -2.80"," -3.84"
"acetaldehyde",7,"1 O + 4 H + 2 C "," -677.25","  2.68","  2.92"," 26.42","  1.43"," -0.87","  1.33","-16.28"," -0.13"," -3.59"
"glyoxal",6,"2 O + 2 H + 2 C "," -634.00","  4.45"," -1.42"," 40.73"," -5.35","  0.93","  0.27","-27.87"," -0.20","-13.71"
"ethanol",9,"1 O + 6 H + 2 C "," -810.44","  4.58","  7.95"," 25.86","  8.53"," -1.16","  3.29","-10.13","  2.38","  5.69"
"dimethyl-ether",9,"1 O + 6 H + 2 C "," -798.07","  2.93","  6.85"," 24.48","  6.35"," -2.60","  3.17","-11.04","  1.98","  4.32"
"thiooxirane",7,"4 H + 1 S + 2 C "," -624.38","  6.39","  3.60"," 23.49","  9.71","  3.79","  2.27","-13.90"," -3.85","  0.56"
"dimethylsulfoxide",10,"1 O + 6 H + 1 S + 2 C "," -856.00"," 14.77"," 13.15"," 43.21"," 15.83"," 10.08"," 13.24","-11.19","  7.88","  8.94"
"ethanethiol",9,"6 H + 1 S + 2 C "," -769.42","  7.05","  8.53"," 22.32"," 13.99","  3.01","  7.13"," -5.86","  1.83","  9.56"
"dimethyl-sulfide",9,"6 H + 1 S + 2 C "," -767.77","  6.22","  7.45"," 21.97"," 12.75","  2.71","  6.71"," -6.96","  1.15","  8.30"
"vinyl-fluoride",6,"1 F + 3 H + 2 C "," -572.48","  0.98","  1.00"," 21.48"," -0.37"," -2.57"," -0.31","-16.72"," -2.45"," -5.00"
"ethyl-chloride",8,"5 H + 2 C + 1 Cl "," -692.12","  6.26","  6.42"," 20.08"," 12.19","  2.34","  4.57"," -7.36"," -0.17","  6.56"
"vinyl-chloride",6,"3 H + 2 C + 1 Cl "," -540.16","  1.74"," -0.45"," 18.19","  2.66"," -0.07","  1.22","-16.09"," -5.30"," -4.81"
"acrylonitrile",7,"1 N + 3 H + 3 C "," -764.23","  3.35","  1.70"," 35.78"," -2.72","  2.17","  4.72","-25.79"," -1.91","-15.21"
"acetone",10,"1 O + 6 H + 3 C "," -978.89","  5.51","  5.69"," 34.17","  7.55"," -0.83","  1.01","-19.90"," -1.36"," -1.29"
"acetic-acid",8,"2 O + 4 H + 2 C "," -803.48","  6.40","  3.31"," 39.76","  2.46"," -0.11","  0.20","-23.29","  0.46"," -4.81"
"acetyl-fluoride",7,"1 F + 1 O + 3 H + 2 C "," -706.76","  5.39","  1.62"," 35.87","  0.77"," -0.81"," -2.02","-23.28"," -0.98"," -6.55"
"acetyl-chloride",7,"1 O + 3 H + 2 C + 1 Cl "," -668.75","  7.03","  0.99"," 35.11","  3.29","  3.76","  3.07","-22.41"," -2.02"," -6.36"
"propyl-chloride",11,"7 H + 3 C + 1 Cl "," -986.33","  8.98","  9.00"," 27.77"," 18.08","  2.47","  4.38","-11.00"," -1.39","  8.73"
"isopropanol",12,"1 O + 8 H + 3 C ","-1108.47","  8.08"," 11.31"," 34.27"," 15.26"," -0.59","  3.64","-13.23","  1.78","  8.52"
"methyl-ethyl-ether",12,"1 O + 8 H + 3 C ","-1095.11","  5.18","  9.17"," 31.69"," 11.76"," -3.02","  2.64","-15.07","  0.41","  6.10"
"trimethylamine",13,"1 N + 9 H + 3 C ","-1160.45","  3.28","  9.34"," 29.62"," 11.30"," -4.50","  2.84","-15.99"," -0.96","  4.09"
"furan",9,"1 O + 4 H + 4 C "," -994.38","  7.73","  0.32"," 44.83","  6.03","  0.47"," -4.17","-35.88","-10.34","-12.21"
"thiophene",9,"4 H + 1 S + 4 C "," -963.79"," 12.64","  3.15"," 43.70"," 14.09","  8.15","  3.25","-30.04"," -9.43"," -6.76"
"pyrrole",10,"1 N + 5 H + 4 C ","-1072.10","  4.17"," -0.83"," 40.39","  4.67"," -2.50"," -5.45","-37.72","-13.59","-15.18"
"pyridine",12,"1 N + 5 H + 5 C ","-1238.20","  4.09"," -3.13"," 46.61","  3.13"," -1.83"," -3.01","-45.71","-16.41","-21.43"
"h2",2,"2 H "," -109.64"," -0.49","  5.03","  1.15","  0.36","  0.60","  5.48","  5.15","  5.35","  5.18"
"methyl-allene",10,"6 H + 4 C "," -999.91","  2.25","  3.67"," 29.32","  5.31"," -1.31","  2.12","-23.59"," -6.58"," -6.65"
"isoprene",13,"8 H + 5 C ","-1310.44","  7.80","  8.92"," 38.84"," 14.66","  1.52","  5.80","-23.87"," -5.02"," -1.21"
"cyclopentane",15,"10 H + 5 C ","-1464.30"," 13.25"," 13.14"," 39.34"," 28.02","  1.51"," -1.30","-18.41"," -5.84"," 10.85"
"n-pentane",17,"12 H + 5 C ","-1595.73"," 10.29"," 16.17"," 36.70"," 26.85"," -0.81","  3.53","-14.03"," -1.97"," 14.25"
"neopentane",17,"12 H + 5 C ","-1600.27"," 14.03"," 19.41"," 40.09"," 30.97","  2.04","  6.15","-10.96","  1.02"," 17.59"
"1-3-cyclohexadiene",14,"8 H + 6 C ","-1477.86"," 12.76","  8.27"," 48.36"," 21.22","  3.01"," -0.19","-32.38","-10.78"," -2.96"
"1-4-cyclohexadiene",14,"8 H + 6 C ","-1478.16"," 13.01","  8.56"," 48.00"," 21.92","  2.80"," -1.02","-31.78","-10.73"," -2.32"
"cyclohexane",18,"12 H + 6 C ","-1765.05"," 17.29"," 17.18"," 47.65"," 35.85","  2.37"," -0.49","-20.58"," -6.01"," 14.39"
"n-hexane",20,"14 H + 6 C ","-1890.10"," 13.23"," 18.97"," 44.61"," 32.96"," -0.49","  3.57","-17.50"," -2.99"," 16.60"
"3-methylpentane",20,"14 H + 6 C ","-1890.98"," 15.61"," 20.91"," 46.89"," 35.53","  1.42","  5.33","-15.69"," -1.13"," 18.49"
"toluene",15,"8 H + 7 C ","-1665.00"," 11.31","  4.41"," 53.99"," 18.95","  1.79"," -1.03","-43.74","-17.16","-10.90"
"n-heptane",23,"16 H + 7 C ","-2184.48"," 16.17"," 21.78"," 52.54"," 39.06"," -0.15","  3.61","-20.96"," -3.99"," 18.96"
"cyclooctatetraene",16,"8 H + 8 C ","-1779.50"," 15.99","  6.77"," 66.59"," 20.74","  6.28","  3.15","-49.11","-15.43","-14.21"
"n-octane",26,"18 H + 8 C ","-2478.96"," 19.22"," 24.69"," 60.57"," 45.28","  0.29","  3.75","-24.31"," -4.90"," 21.43"
"naphthalene",18,"8 H + 10 C ","-2163.01"," 16.79"," -0.61"," 78.81"," 22.94","  4.75"," -4.42","-71.97","-31.09","-26.22"
"azulene",18,"8 H + 10 C ","-2129.34"," 16.87"," -0.70"," 83.40"," 19.59","  8.89","  3.16","-74.97","-30.01","-29.35"
"methyl-acetate",11,"2 O + 6 H + 3 C ","-1087.80","  7.81","  5.46"," 46.41","  6.51"," -1.17","  0.33","-27.12"," -0.41"," -3.56"
"t-butanol",15,"1 O + 10 H + 4 C ","-1406.79"," 12.95"," 15.85"," 43.91"," 23.53","  1.10","  4.91","-15.04","  2.34"," 12.63"
"aniline",14,"1 N + 7 H + 6 C ","-1540.43","  6.69"," -0.58"," 54.39","  9.21"," -1.83"," -3.52","-50.66","-18.88","-19.78"
"phenol",13,"1 O + 6 H + 6 C ","-1472.57"," 11.66","  1.67"," 59.62"," 12.81","  2.34"," -1.58","-47.68","-15.33","-15.20"
"divinyl-ether",11,"1 O + 6 H + 4 C ","-1103.84","  5.18","  4.13"," 42.09","  4.81"," -1.17","  2.80","-29.78"," -4.54"," -7.87"
"tetrahydrofuran",13,"1 O + 8 H + 4 C ","-1262.22"," 11.66","  9.65"," 42.76"," 19.73","  0.24"," -1.80","-22.24"," -3.91","  5.74"
"cyclopentanone",14,"1 O + 8 H + 5 C ","-1437.11"," 12.94","  6.91"," 51.27"," 19.55","  0.84"," -5.21","-32.67"," -8.74"," -1.36"
